fdc_id,NDB_number,fdc_id,data_type,description,food_category_id,publication_date
167768,9357,167768,sr_legacy_food,"Apricots, canned, heavy syrup, drained",9,2019-04-01
167769,9362,167769,sr_legacy_food,"Cherries, sour, canned, water pack, drained",9,2019-04-01
167770,9367,167770,sr_legacy_food,"Cherries, sweet, canned, pitted, heavy syrup, drained",9,2019-04-01
167771,9400,167771,sr_legacy_food,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",9,2019-04-01
167772,9401,167772,sr_legacy_food,"Applesauce, canned, unsweetened, with added ascorbic acid",9,2019-04-01
167773,9402,167773,sr_legacy_food,"Applesauce, canned, sweetened, with salt",9,2019-04-01
167774,9404,167774,sr_legacy_food,"Grapefruit juice, pink, raw",9,2019-04-01
167775,9411,167775,sr_legacy_food,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",9,2019-04-01
167776,9412,167776,sr_legacy_food,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
167777,9413,167777,sr_legacy_food,"Pears, raw, red anjou",9,2019-04-01
167778,9414,167778,sr_legacy_food,"Pears, raw, bosc (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
167779,9415,167779,sr_legacy_food,"Pears, raw, green anjou (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
167780,9423,167780,sr_legacy_food,Prune puree,9,2019-04-01
167781,9426,167781,sr_legacy_food,Candied fruit,9,2019-04-01
167782,9427,167782,sr_legacy_food,"Abiyuch, raw",9,2019-04-01
167783,9428,167783,sr_legacy_food,"Rowal, raw",9,2019-04-01
167784,9435,167784,sr_legacy_food,"Guava nectar, canned, with added ascorbic acid",9,2019-04-01
167785,9436,167785,sr_legacy_food,"Mango nectar, canned",9,2019-04-01
167786,9437,167786,sr_legacy_food,"Tamarind nectar, canned",9,2019-04-01
167787,9442,167787,sr_legacy_food,"Pomegranate juice, bottled",9,2019-04-01
167788,9448,167788,sr_legacy_food,"Nance, canned, syrup, drained",9,2019-04-01
167789,9449,167789,sr_legacy_food,"Nance, frozen, unsweetened",9,2019-04-01
167790,9450,167790,sr_legacy_food,"Naranjilla (lulo) pulp, frozen, unsweetened",9,2019-04-01
167791,9451,167791,sr_legacy_food,Horned melon (Kiwano),9,2019-04-01
167792,9452,167792,sr_legacy_food,Orange Pineapple Juice Blend,9,2019-04-01
167793,9504,167793,sr_legacy_food,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",9,2019-04-01
